Order ID,Ship Date,Ship Mode
CA-2016-152156,11/11/2016,Second Class
CA-2016-138688,6/16/2016,Second Class
US-2015-108966,10/18/2015,Standard Class
CA-2014-115812,6/14/2014,Standard Class
CA-2017-114412,4/20/2017,Standard Class
CA-2016-161389,12/10/2016,Standard Class
US-2015-118983,11/26/2015,Standard Class
CA-2014-105893,11/18/2014,Standard Class
CA-2014-167164,5/15/2014,Second Class
CA-2014-143336,9/1/2014,Second Class
CA-2016-137330,12/13/2016,Standard Class
US-2017-156909,7/18/2017,Second Class
CA-2015-106320,9/30/2015,Standard Class
CA-2016-121755,1/20/2016,Second Class
US-2015-150630,9/21/2015,Standard Class
CA-2017-107727,10/23/2017,Second Class
CA-2016-117590,12/10/2016,First Class
CA-2015-117415,12/31/2015,Standard Class
CA-2017-120999,9/15/2017,Standard Class
CA-2016-101343,7/22/2016,Standard Class
CA-2017-139619,9/23/2017,Standard Class
CA-2016-118255,3/13/2016,First Class
CA-2014-146703,10/25/2014,Second Class
CA-2016-169194,6/25/2016,Standard Class
CA-2015-115742,4/22/2015,Standard Class
CA-2016-105816,12/17/2016,Standard Class
CA-2016-111682,6/18/2016,First Class
CA-2015-135545,11/30/2015,Standard Class
US-2015-164175,5/5/2015,Standard Class
CA-2014-106376,12/10/2014,Standard Class
CA-2016-119823,6/6/2016,First Class
CA-2016-106075,9/23/2016,Standard Class
CA-2017-114440,9/17/2017,Second Class
US-2015-134026,5/2/2015,Standard Class
US-2017-118038,12/11/2017,First Class
US-2014-147606,12/1/2014,Second Class
CA-2016-127208,6/15/2016,First Class
CA-2014-139451,10/16/2014,Standard Class
CA-2015-149734,9/8/2015,Standard Class
US-2017-119662,11/16/2017,First Class
CA-2017-140088,5/30/2017,Second Class
CA-2017-155558,11/2/2017,Standard Class
CA-2016-159695,4/10/2016,Second Class
CA-2016-109806,9/22/2016,Standard Class
CA-2015-149587,2/5/2015,Second Class
US-2017-109484,11/12/2017,Standard Class
CA-2017-161018,11/11/2017,Second Class
CA-2017-157833,6/20/2017,First Class
CA-2016-149223,9/11/2016,Standard Class
CA-2016-158568,9/2/2016,Standard Class
CA-2016-129903,12/4/2016,Second Class
US-2015-156867,11/17/2015,Standard Class
CA-2017-119004,11/28/2017,Standard Class
CA-2015-129476,10/20/2015,Standard Class
CA-2017-146780,12/30/2017,Standard Class
CA-2016-128867,11/10/2016,Standard Class
CA-2014-115259,8/27/2014,Second Class
CA-2015-110457,3/6/2015,Standard Class
US-2015-136476,4/10/2015,Standard Class
CA-2016-103730,6/15/2016,First Class
US-2014-152030,12/28/2014,Second Class
US-2014-134614,9/25/2014,Standard Class
US-2017-107272,11/12/2017,Standard Class
US-2016-125969,11/10/2016,Second Class
US-2017-164147,2/5/2017,First Class
CA-2016-145583,10/19/2016,Standard Class
CA-2016-110366,9/7/2016,Second Class
